"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.09.2023","145,02","146,09","150,25","142,65","172,25M","-0,90%"
"01.08.2023","146,33","157,43","158,00","145,46","169,32M","-7,36%"
"01.07.2023","157,96","146,19","159,38","141,44","231,27M","8,61%"
"01.06.2023","145,44","136,52","146,00","135,45","207,75M","7,17%"
"01.05.2023","135,71","142,26","143,37","131,81","235,31M","-1,83%"
"01.04.2023","138,24","129,91","141,78","126,22","242,87M","6,09%"
"01.03.2023","130,31","142,10","144,04","123,11","458,50M","-9,10%"
"01.02.2023","143,35","138,21","144,34","137,43","169,57M","2,42%"
"01.01.2023","139,96","135,24","143,49","133,55","209,97M","4,37%"
"01.12.2022","134,10","138,18","138,66","128,41","202,05M","-2,95%"
"01.11.2022","138,18","126,87","138,18","125,91","226,63M","9,77%"
"01.10.2022","125,88","105,62","127,43","101,28","318,23M","20,46%"
"01.09.2022","104,50","113,29","121,55","104,40","248,56M","-8,12%"
"01.08.2022","113,73","114,50","124,24","111,02","258,44M","-1,41%"
"01.07.2022","115,36","112,65","116,50","106,06","239,57M","2,44%"
"01.06.2022","112,61","132,87","132,87","110,93","268,24M","-14,84%"
"01.05.2022","132,23","119,88","133,15","115,02","313,63M","10,78%"
"01.04.2022","119,36","137,40","137,41","118,90","303,66M","-12,44%"
"01.03.2022","136,32","140,04","143,93","127,27","390,80M","-3,86%"
"01.02.2022","141,80","148,69","159,03","139,78","288,73M","-4,58%"
"01.01.2022","148,60","159,86","169,81","139,57","374,02M","-6,16%"
"01.12.2021","158,35","161,00","163,39","151,84","252,03M","-0,30%"
"01.11.2021","158,83","172,04","172,33","158,29","203,51M","-6,51%"
"01.10.2021","169,89","164,00","172,96","160,06","231,68M","3,79%"
"01.09.2021","163,69","160,22","169,30","150,49","234,83M","2,34%"
"01.08.2021","159,95","152,03","163,83","149,52","208,09M","5,38%"
"01.07.2021","151,78","156,26","159,16","145,71","280,58M","-2,42%"
