"Date","Price","Open","High","Low","Change %"
"09/01/2023","5.395","5.398","5.474","5.362","0.04%"
"08/01/2023","5.393","5.398","5.503","5.352","0.43%"
"07/01/2023","5.370","5.189","5.509","5.187","3.47%"
"06/01/2023","5.190","5.305","5.493","4.976","-0.33%"
"05/01/2023","5.207","4.375","6.073","4.272","20.67%"
"04/01/2023","4.315","4.794","5.004","3.206","-8.27%"
"03/01/2023","4.704","4.611","4.795","3.920","2.42%"
"02/01/2023","4.593","4.535","4.693","4.449","1.53%"
"01/01/2023","4.524","4.032","4.701","4.009","12.99%"
"12/01/2022","4.004","3.976","4.076","3.499","1.11%"
"11/01/2022","3.960","3.665","4.086","3.397","9.09%"
"10/01/2022","3.630","2.743","3.709","2.743","32.58%"
"09/01/2022","2.738","2.343","2.799","2.201","17.21%"
"08/01/2022","2.336","2.217","2.486","2.092","6.72%"
"07/01/2022","2.189","1.335","2.219","1.256","103.06%"
"06/01/2022","1.078","0.728","1.327","0.713","49.72%"
"05/01/2022","0.720","0.373","0.771","0.360","94.59%"
"04/01/2022","0.370","0.188","0.601","0.147","151.70%"
"03/01/2022","0.147","0.073","0.274","0.061","140.98%"
"02/01/2022","0.061","0.046","0.099","0.020","48.78%"
"01/01/2022","0.041","0.068","0.079","0.030","-26.79%"
"12/01/2021","0.056","0.106","0.122","0.000","-47.17%"
"11/01/2021","0.106","0.056","0.145","0.041","89.29%"
"10/01/2021","0.056","0.066","0.145","0.005","5.66%"
"09/01/2021","0.053","0.038","0.104","0.030","51.43%"
"08/01/2021","0.035","0.046","0.058","0.025","-23.91%"
"07/01/2021","0.046","0.046","0.063","0.036","-4.17%"
"06/01/2021","0.048","0.008","0.076","0.002","860.00%"
"05/01/2021","0.005","0.005","0.051","0.000","-50.00%"
"04/01/2021","0.010","0.008","0.041","0.002","-23.08%"
"03/01/2021","0.013","0.041","0.142","0.002","-56.67%"
"02/01/2021","0.030","0.056","0.061","0.015","-46.43%"
"01/01/2021","0.056","0.096","0.099","0.033","0.00%"
"12/01/2020","0.056","0.089","0.104","0.046","-30.86%"
"11/01/2020","0.081","0.101","0.137","0.048","-3.57%"
"10/01/2020","0.084","0.124","0.145","0.071","13.51%"
"09/01/2020","0.074","0.139","0.157","0.063","-13.95%"
"08/01/2020","0.086","0.096","0.172","0.061","-10.42%"
"07/01/2020","0.096","0.172","0.172","0.084","-25.58%"
"06/01/2020","0.129","0.139","0.188","0.109","0.00%"
